,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
10173,17:10:00,Friday,Male,School areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
10174,17:23:00,Tuesday,Male,Residential areas,Pick up upto 10Q,Undivided Two way,Unknown,Asphalt roads,Dry,Daylight,Normal
10175,17:23:00,Tuesday,Male,Other,Lorry (11?40Q),Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Dry,Daylight,Normal
10176,18:00:00,Sunday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10177,23:35:00,Wednesday,Male,Residential areas,Motorcycle,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10178,23:35:00,Wednesday,Male,Other,Automobile,One way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10179,14:59:00,Wednesday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Other,Gravel roads,Dry,Daylight,Normal
10180,14:59:00,Wednesday,Male,Residential areas,Automobile,Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
10181,14:59:00,Wednesday,Male,Residential areas,Stationwagen,Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
10183,14:40:00,Saturday,Male,Other,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10184,14:40:00,Saturday,Male,Other,Public (> 45 seats),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10185,12:48:00,Sunday,Male, Hospital areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
10186,12:48:00,Sunday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
10187,12:48:00,Sunday,Male,Residential areas,Bicycle,One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
10188,12:48:00,Sunday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
10189,12:48:00,Sunday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads with some distress,Wet or damp,Daylight,Raining
10190,18:40:00,Friday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10191,18:40:00,Friday,Male,Other,Public (13?45 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
10192,11:11:00,Wednesday,Male,Office areas,Special vehicle,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
10193,11:11:00,Wednesday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10194,7:50:00,Tuesday,Male,Office areas,Public (13?45 seats),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
10196,7:50:00,Tuesday,Male,Other,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
10197,16:30:00,Tuesday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Raining
10199,18:56:00,Monday,Male,Office areas,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
10200,18:56:00,Monday,Female,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
10202,18:13:00,Tuesday,Male,Residential areas,Public (> 45 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10203,18:13:00,Tuesday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10204,15:15:00,Sunday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10205,15:15:00,Sunday,Male,Residential areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10206,15:15:00,Sunday,Male,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10208,19:25:00,Monday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10209,14:57:00,Friday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
10210,14:57:00,Friday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
10211,14:57:00,Friday,Male,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
10212,8:30:00,Sunday,Male,Other,Automobile,Double carriageway (median),No junction,Asphalt roads,Wet or damp,Daylight,Normal
10214,22:05:00,Monday,Male,  Recreational areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Cloudy
10215,15:30:00,Friday,Male,Other,Lorry (41?100Q),other,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10216,15:30:00,Friday,Male,Office areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10217,15:30:00,Friday,Male,Other,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10218,21:15:00,Sunday,Male,Office areas,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10219,21:15:00,Sunday,Male,Office areas,Automobile,One way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10220,21:15:00,Sunday,Male,Office areas,Other,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10222,16:32:00,Monday,Male,Other,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
10223,16:32:00,Monday,Male,Office areas,Motorcycle,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10224,16:32:00,Monday,Male,Residential areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
10225,15:30:00,Friday,Male,  Recreational areas,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
10226,15:30:00,Friday,Male,Other,Public (12 seats),other,No junction,Asphalt roads,Wet or damp,Daylight,Normal
10227,14:45:00,Saturday,Male,Residential areas,Long lorry,other,No junction,Asphalt roads,Dry,Daylight,Normal
10229,19:30:00,Wednesday,Male,Other,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
10230,16:56:00,Friday,Male,Other,Public (> 45 seats),One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
10231,17:50:00,Monday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10232,17:50:00,Monday,Male,Other,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
10233,9:04:00,Tuesday,Male,School areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10234,9:04:00,Tuesday,Male,Office areas,Public (13?45 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10235,10:40:00,Thursday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10236,10:40:00,Thursday,Male,Office areas,Public (> 45 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10238,21:15:00,Thursday,Male,School areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10239,16:00:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10240,16:00:00,Friday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10241,16:00:00,Friday,Male,School areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10243,19:30:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10244,19:30:00,Saturday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10245,9:32:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10246,9:32:00,Sunday,Male,Residential areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10247,11:19:00,Wednesday,Male,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10248,11:19:00,Wednesday,Male,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10249,8:05:00,Friday,Male, Industrial areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10250,6:26:00,Friday,Male,  Recreational areas,Public (13?45 seats),Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
10251,6:26:00,Friday,Male, Church areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
10252,9:20:00,Thursday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10253,9:20:00,Thursday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10254,9:25:00,Friday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal
10255,9:25:00,Friday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10256,17:50:00,Monday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10257,17:50:00,Monday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10258,16:02:00,Sunday,Male,Office areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
10259,16:02:00,Sunday,Male,Residential areas,Public (> 45 seats),other,No junction,Gravel roads,Dry,Daylight,Normal
10260,15:36:00,Tuesday,Male,School areas,Public (12 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10261,15:36:00,Tuesday,Male,Office areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10262,20:46:00,Saturday,Male,Other,Public (12 seats),other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10263,20:46:00,Saturday,Male,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10264,7:25:00,Wednesday,Male, Church areas,Public (12 seats),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
10265,7:25:00,Wednesday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10266,19:58:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10267,6:50:00,Wednesday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining
10268,6:50:00,Wednesday,Male,Office areas,Special vehicle,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining
10269,12:08:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10270,12:08:00,Friday,Male, Church areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10271,12:08:00,Friday,Male,Office areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10272,18:40:00,Tuesday,Male,Other,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
10273,18:40:00,Tuesday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10274,11:43:00,Sunday,Male, Church areas,Automobile,Unknown,Y Shape,Asphalt roads,Dry,Daylight,Normal
10275,11:43:00,Sunday,Male,School areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10276,12:00:00,Saturday,Male, Church areas,Lorry (11?40Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10277,12:00:00,Saturday,Male,Office areas,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10278,8:58:00,Friday,Male,Other,Lorry (11?40Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
10279,8:20:00,Thursday,Male, Church areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Raining
10280,23:10:00,Friday,Male,Other,Special vehicle,Double carriageway (median),Crossing,Earth roads,Dry,Darkness - lights lit,Normal
10281,23:10:00,Friday,Male,Other,Lorry (11?40Q),Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10284,22:30:00,Sunday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10285,22:30:00,Sunday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10287,17:45:00,Tuesday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10288,17:45:00,Tuesday,Female,  Recreational areas,Other,other,No junction,Asphalt roads,Dry,Daylight,Normal
10289,17:45:00,Tuesday,Female,Office areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
10290,14:30:00,Sunday,Male, Industrial areas,Public (13?45 seats),other,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal
10293,6:10:00,Friday,Male,Residential areas,Automobile,other,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10295,22:10:00,Wednesday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
10297,19:00:00,Tuesday,Male,Office areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10298,18:25:00,Wednesday,Male,Office areas,Taxi,Double carriageway (median),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10299,17:11:00,Sunday,Male,Office areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
10300,17:11:00,Sunday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10301,17:10:00,Thursday,Male,Office areas,Other,One way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10302,17:10:00,Thursday,Male,Office areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10303,17:10:00,Thursday,Male,Office areas,Stationwagen,other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10304,17:50:00,Friday,Male,Residential areas,Lorry (41?100Q),other,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10305,17:50:00,Friday,Male,Residential areas,Lorry (41?100Q),One way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10306,8:25:00,Monday,Female,Other,Other,One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy
10307,13:00:00,Tuesday,Male, Church areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10310,23:45:00,Friday,Male,Residential areas,Lorry (41?100Q),other,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
10311,23:45:00,Friday,Female,Residential areas,Other,other,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
10312,20:50:00,Tuesday,Male,Office areas,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10313,20:50:00,Tuesday,Male,  Market areas,Public (> 45 seats),Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10314,10:54:00,Friday,Male,Unknown,Stationwagen,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
10315,16:50:00,Monday,Male, Industrial areas,Automobile,other,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10316,16:50:00,Monday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with solid lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10317,16:50:00,Monday,Male,Residential areas,Other,Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10318,18:30:00,Sunday,Male,Other,Public (13?45 seats),Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10319,18:30:00,Sunday,Male,Residential areas,Other,other,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10320,18:30:00,Sunday,Male,Rural village areas,Other,Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10321,18:30:00,Sunday,Male,Rural village areas,Ridden horse,Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10322,18:30:00,Sunday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10323,15:50:00,Thursday,Female,Residential areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
10324,15:50:00,Thursday,Male,Residential areas,Pick up upto 10Q,other,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
10325,15:40:00,Friday,Male, Outside rural areas,Lorry (11?40Q),other,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
10326,15:40:00,Friday,Male,Residential areas,Automobile,other,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
